stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104604.521157,,26.250000,32.012195,0.565104,525.000,300,102,332,140,382,GuardBoat,0.687174
1756104605.613979,20.791437,29.166667,34.090909,0.038602,525.000,300,106,332,142,377,GuardBoat,0.667892
1756104606.621668,22.231636,25.240385,31.250000,0.037058,525.000,300,110,332,148,384,GuardBoat,0.715652
1756104606.719558,22.378916,32.012195,36.458333,0.034925,525.000,300,112,331,141,372,GuardBoat,0.713330
1756104606.765295,22.526198,32.812500,36.971831,0.019361,525.000,300,113,331,141,371,GuardBoat,0.742770
1756104606.832155,22.526198,32.812500,36.971831,0.047499,525.000,300,113,331,140,371,GuardBoat,0.721181
1756104606.878512,22.673480,31.250000,35.958904,0.006167,525.000,300,112,331,140,373,GuardBoat,0.652937
1756104606.929790,22.673480,32.012195,36.458333,0.045111,525.000,300,113,331,141,372,GuardBoat,0.667823
1756104606.975411,22.830686,32.012195,36.458333,0.009292,525.000,300,113,331,140,372,GuardBoat,0.534435
1756104607.084992,22.977970,31.250000,35.958904,0.001266,525.000,300,113,331,144,373,GuardBoat,0.618397
1756104607.140865,23.112548,,,0.035885,525.000,300,,,,,,
1756104607.180390,23.112548,,,0.003641,525.000,300,,,,,,
1756104607.260722,23.279686,32.012195,36.458333,0.023051,525.000,300,114,331,144,372,GuardBoat,0.694998
1756104607.297101,23.279686,31.250000,35.958904,0.013328,525.000,300,113,331,143,373,GuardBoat,0.621966
1756104607.350652,23.426974,,,0.033145,525.000,300,,,,,,
1756104607.394663,23.426974,,,0.010867,525.000,300,,,,,,
1756104607.496473,23.584189,,,0.012653,525.000,300,,,,,,
1756104607.566663,23.741407,,,0.017181,525.000,300,,,,,,
1756104607.610878,23.741407,,,0.027034,525.000,300,,,,,,
1756104607.661942,23.891467,25.240385,32.012195,0.021925,525.000,300,111,330,148,382,GuardBoat,0.515305
1756104607.707746,23.891467,,,0.023878,525.000,300,,,,,,
1756104607.778869,24.048684,29.166667,35.000000,0.005022,525.000,300,112,330,145,375,GuardBoat,0.682518
1756104607.875492,24.198745,31.250000,36.458333,0.008423,525.000,300,113,330,146,372,GuardBoat,0.722104
1756104607.912591,24.198745,32.812500,37.500000,0.028676,525.000,300,115,330,144,370,GuardBoat,0.718662
1756104607.982671,24.346035,31.250000,36.458333,0.000267,525.000,300,114,330,147,372,GuardBoat,0.705797
1756104608.021038,24.346035,30.523256,35.958904,0.038100,525.000,300,114,330,145,373,GuardBoat,0.562999
1756104608.092731,24.506023,,,0.009768,525.000,300,,,,,,
1756104608.137235,24.653312,33.653846,38.043478,0.045751,525.000,300,117,330,142,369,GuardBoat,0.511998
1756104608.234294,24.810530,21.875000,22.245763,0.048715,525.000,300,98,358,155,418,GuardBoat,0.534949
1756104608.288254,24.810530,,,0.005245,525.000,300,,,,,,
1756104608.332049,24.810530,,,0.049040,525.000,300,,,,,,
1756104608.405848,24.970517,,,0.022815,525.000,300,,,,,,
1756104608.494256,25.117807,21.875000,28.532609,0.011200,525.000,300,108,332,152,392,GuardBoat,0.544385
1756104608.547299,25.275026,20.192308,27.631579,0.035781,525.000,300,104,330,151,395,GuardBoat,0.605718
1756104608.600208,25.275026,20.192308,27.631579,0.017128,525.000,300,105,330,151,395,GuardBoat,0.578015
1756104608.645538,25.432247,21.875000,24.305556,0.037566,525.000,300,101,348,157,408,GuardBoat,0.522411
1756104608.754267,25.589469,,,0.027860,525.000,300,,,,,,
1756104608.804626,25.589469,,,0.022499,525.000,300,,,,,,
1756104608.852177,25.749453,,,0.029974,525.000,300,,,,,,
1756104608.925815,25.749453,17.500000,24.532710,0.043664,525.000,300,103,332,156,407,GuardBoat,0.550971
1756104609.015916,25.906675,,,0.033741,525.000,300,,,,,,
1756104609.060545,26.063899,,,0.021652,525.000,300,,,,,,
1756104609.132472,26.221125,18.485915,25.485437,0.049749,525.000,300,103,332,155,403,GuardBoat,0.755096
