stamp_sec,d_origin_m,det_box_m,det_horizon_m,odom_dt_sec,fy_px,horizon_row_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cls,score
1756104604.521157,,27.500000,30.783582,0.565104,550.000,315,102,332,140,382,GuardBoat,0.687174
1756104605.613979,20.791437,30.555556,33.266129,0.038602,550.000,315,106,332,142,377,GuardBoat,0.667892
1756104606.557660,22.231636,31.976744,34.957627,0.026950,550.000,315,111,331,141,374,GuardBoat,0.623818
1756104606.665555,22.378916,25.943396,29.464286,0.019078,550.000,315,109,332,149,385,GuardBoat,0.675240
1756104606.719558,22.378916,33.536585,36.184211,0.034925,550.000,315,112,331,141,372,GuardBoat,0.713330
1756104606.765295,22.526198,34.375000,36.830357,0.019361,550.000,315,113,331,141,371,GuardBoat,0.742770
1756104606.832155,22.526198,34.375000,36.830357,0.047499,550.000,315,113,331,140,371,GuardBoat,0.721181
1756104606.929790,22.673480,33.536585,36.184211,0.045111,550.000,315,113,331,141,372,GuardBoat,0.667823
1756104606.975411,22.673480,33.536585,36.184211,0.090732,550.000,315,113,331,140,372,GuardBoat,0.534435
1756104607.044639,22.977970,32.738095,35.560345,0.039088,550.000,315,113,331,143,373,GuardBoat,0.569706
1756104607.084992,22.977970,32.738095,35.560345,0.001266,550.000,315,113,331,144,373,GuardBoat,0.618397
1756104607.140865,23.112548,,,0.035885,550.000,315,,,,,,
1756104607.180390,23.112548,,,0.003641,550.000,315,,,,,,
1756104607.260722,23.279686,33.536585,36.184211,0.023051,550.000,315,114,331,144,372,GuardBoat,0.694998
1756104607.297101,23.279686,32.738095,35.560345,0.013328,550.000,315,113,331,143,373,GuardBoat,0.621966
1756104607.350652,23.426974,,,0.033145,550.000,315,,,,,,
1756104607.394663,23.426974,,,0.010867,550.000,315,,,,,,
1756104607.496473,23.584189,,,0.012653,550.000,315,,,,,,
1756104607.566663,23.741407,,,0.017181,550.000,315,,,,,,
1756104607.610878,23.741407,,,0.027034,550.000,315,,,,,,
1756104607.661942,23.891467,26.442308,30.783582,0.021925,550.000,315,111,330,148,382,GuardBoat,0.515305
1756104607.707746,23.891467,,,0.023878,550.000,315,,,,,,
1756104607.778869,24.048684,30.555556,34.375000,0.005022,550.000,315,112,330,145,375,GuardBoat,0.682518
1756104607.875492,24.198745,32.738095,36.184211,0.008423,550.000,315,113,330,146,372,GuardBoat,0.722104
1756104607.912591,24.198745,34.375000,37.500000,0.028676,550.000,315,115,330,144,370,GuardBoat,0.718662
1756104607.982671,24.346035,32.738095,36.184211,0.000267,550.000,315,114,330,147,372,GuardBoat,0.705797
1756104608.021038,24.346035,31.976744,35.560345,0.038100,550.000,315,114,330,145,373,GuardBoat,0.562999
1756104608.092731,24.506023,,,0.009768,550.000,315,,,,,,
1756104608.137235,24.653312,35.256410,38.194444,0.045751,550.000,315,117,330,142,369,GuardBoat,0.511998
1756104608.234294,24.810530,22.916667,20.024272,0.048715,550.000,315,98,358,155,418,GuardBoat,0.534949
1756104608.288254,24.810530,,,0.005245,550.000,315,,,,,,
1756104608.332049,24.810530,,,0.049040,550.000,315,,,,,,
1756104608.405848,24.970517,,,0.022815,550.000,315,,,,,,
1756104608.447259,25.117807,23.706897,27.500000,0.035798,550.000,315,112,332,152,390,GuardBoat,0.521225
1756104608.494256,25.117807,22.916667,26.785714,0.011200,550.000,315,108,332,152,392,GuardBoat,0.544385
1756104608.547299,25.275026,21.153846,25.781250,0.035781,550.000,315,104,330,151,395,GuardBoat,0.605718
1756104608.600208,25.275026,21.153846,25.781250,0.017128,550.000,315,105,330,151,395,GuardBoat,0.578015
1756104608.645538,25.432247,22.916667,22.177419,0.037566,550.000,315,101,348,157,408,GuardBoat,0.522411
1756104608.754267,25.589469,,,0.027860,550.000,315,,,,,,
1756104608.804626,25.589469,,,0.022499,550.000,315,,,,,,
1756104608.852177,25.749453,,,0.029974,550.000,315,,,,,,
1756104608.925815,25.749453,18.333333,22.418478,0.043664,550.000,315,103,332,156,407,GuardBoat,0.550971
1756104608.963183,25.906675,,,0.018991,550.000,315,,,,,,
1756104609.015916,25.906675,,,0.033741,550.000,315,,,,,,
1756104609.060545,26.063899,,,0.021652,550.000,315,,,,,,
1756104609.132472,26.221125,19.366197,23.437500,0.049749,550.000,315,103,332,155,403,GuardBoat,0.755096
1756104609.177903,26.221125,,,0.004318,550.000,315,,,,,,
1756104609.275722,26.381106,22.916667,27.138158,0.006523,550.000,315,110,331,152,391,GuardBoat,0.621172
1756104609.340935,26.548263,,,0.041333,550.000,315,,,,,,
1756104609.434222,26.705491,,,0.048069,550.000,315,,,,,,
1756104609.475390,26.705491,,,0.006902,550.000,315,,,,,,
1756104609.510801,26.705491,,,0.028509,550.000,315,,,,,,
1756104609.594606,26.875402,20.220588,24.553571,0.013292,550.000,315,104,331,156,399,GuardBoat,0.775230
1756104609.648899,27.032630,23.706897,24.849398,0.032439,550.000,315,106,340,158,398,GuardBoat,0.561540
1756104609.694969,27.032630,20.220588,23.982558,0.013631,550.000,315,107,333,157,401,GuardBoat,0.503024
1756104609.760957,27.189860,27.500000,24.849398,0.020405,550.000,315,108,348,162,398,GuardBoat,0.546934
1756104609.800562,27.189860,24.553571,24.553571,0.019201,550.000,315,108,343,159,399,GuardBoat,0.555940
1756104609.855273,27.349838,31.250000,27.871622,0.026113,550.000,315,107,345,156,389,GuardBoat,0.577225
1756104609.907148,27.349838,,,0.025763,550.000,315,,,,,,
